number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
1,"Congratulations! You have just passed your private pilot checkride! You are excited to take the FBO's trusty, if not slightly worn out, C182 for a few circuits around the airfield to exercise your PIC muscle. Your friend, Bonnie Propwash, comes along. After calculating the weight and balance, you realize you're going to need to add some ballast to the cargo area. The FBO has a bucket of ACA (American Cornhole Association) approved bags just for this purpose. They weigh 16 ounces each. What is the minimum number of cornhole bags you need to strap down in the cargo area to make the aircraft safe for flight? Here are the remaining details: [[TABLE]]",33,36,34,35,C,34,,multiple_choice,,,"Item | Value [[NEXT_LINE]] Gross weight | 2,976 pounds [[NEXT_LINE]] Calculated CG | 38.75"" [[NEXT_LINE]] CG limits | Forward 39.5"", Aft 48.3"" [[NEXT_LINE]] Cargo area arm | 105.5""",Weight Change
2,"Your friend just took delivery of a Piper Navajo that was previously owned by the NFL's greatest quarterback, Snap McPigskin. Upon review of the manuals, you've discovered all the performance charts were converted to yards instead of feet, likely because yards were McPigskin's favorite unit on the gridiron. You calculate a takeoff run of 563 yards. Your runway is 4,300' long. How much distance remains once you become airborne?","1,689'","2,611'","3,737'","4,112'",B,"2,611'",,multiple_choice,,,,Conversions
3,On a VFR cross-country you notice that the actual winds aloft do not seem to match what you planned with. You take some notes and run some calculations obtaining the following information: TAS 154 knots; flying heading 233° you drift 6° left of course and have a ground speed of 145 knots; flying heading 308° you drift 2° right and have a groundspeed of 300 km/hr. What are the actual winds at your altitude?,112° at 18 kts,250° at 17 kts,070° at 17 kts,292° at 18 kts,D,292° at 18 kts,,multiple_choice,,,,Wind Correction
4,You cross 16 radials in 12.6 minutes. Your airspeed on an arc is 208 km/hr. How far are you from the VOR station?,"537,401 feet","191,304 yards","166,720 meters",26.4 kilometers,A,"537,401 feet",,multiple_choice,,,,Distance to VOR
5,"While planning for a practice VFR Navigation flight, you figure your time to fly 1 statute mile to be 19 seconds. What is your indicated airspeed on a calm wind, standard day at 3,500' MSL?",189.5 mph,180.1 mph,164.7 mph,207.2 mph,B,180.1 mph,,multiple_choice,,,,Time Problems with Hours/Min/Sec
6,Your wealthy relative just purchased a new Citation for their family business and they want you to fly it! You just need a few more hours of PIC time to qualify for the insurance minimums. A warm IMC day is coming and you decide to take your safety pilot up to log some actual IMC and PIC. You've got the Grumman Cheetah fueled up and ready to go. You plan to land with 1 hour fuel reserve. The aircraft has a usable fuel capacity of 38 U.S. gallons and burns 6.8 GPH in cruise. The winds are 226° at 27 kts. You plan to fly a TC of 340° at 122 KTAS. What is your radius of action for today's out-and-back flight?,272 NM,226 NM,331 NM,298 NM,A,272 NM,,multiple_choice,,,,Radius of Action
7,"You are standing at the threshold of runway 16R as a Gulfstream G650 flies overhead. At an approach speed of 139 knots and a length of 99 feet 9 inches, how long does it take from the nose passing over to the tail passing over?",0.42 seconds,0.042 minutes,0.49 seconds,0.049 minutes,A,0.42 seconds,,multiple_choice,,,,Time Problems with Hours/Min/Sec
8,"You are on a night cross-country heading to Smalltown Municipal Airport. The only airplane available tonight is the old one. The one without the GPS. The only avionics are an old VOR and an ILS receiver. It's ok though, because you know how to dead reckon and you have a new sectional downloaded on your EFB. En route to your first checkpoint you notice that you are a few miles right of course, 3.7 SM to be exact. You have flown 27 NM of 118 NM. You have been flying heading 128° so far. What heading do you fly to proceed directly to your destination?",121°,118°,138°,135°,B,118°,,multiple_choice,,,,Off-Course
9,"Convert the following: 30.30"" Hg = ___ mb.",1012.7,1018.9,1026.2,1033.7,C,1026.2,,multiple_choice,,,,Conversions
10,"In order to accurately request fuel while flying internationally, how many liters of fuel are equivalent to 25,500 pounds of fuel assuming one gallon of fuel weighs 6.75 pounds?","1,430 L","14,299 L","1,720 L","17,185 L",B,"14,299 L",,multiple_choice,,,,Conversions
