number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"Your engine is getting close to needing an overhaul, you've noticed your fuel consumption is about 7% higher than the POH value of 9.2 gph. If the repair shop is 173 nautical miles away, how much fuel will you burn flying your plane to the shop for a new engine? Your average groundspeed is 103 knots.",15.5 gallons,16.1 gallons,16.5 gallons,18.1 gallons,C,16.5 gallons,,multiple_choice,,,,Fuel burn / fuel required
2,"The true course is 223°, the variation is 5° east, and the winds are from 311° at 22 knots. If your IAS is 133 mph at 4,500' MSL with an OAT of 22°C and altimeter setting of 1013 hPa, what is your groundspeed?",124 mph,108 knots,143 mph,174 kph,C,143 mph,,multiple_choice,,,,Courses and headings
3,"What is the density altitude at Jackson Hole (elev. 6,451') in July when the temperature is 86°F and the altimeter is 29.88""?","8,750'","9,100'","9,850'","10,200'",C,"9,850'",,multiple_choice,,,,Density altitude
4,"Using the following information, how far out can you fly and loiter for 30 min, and then return to your departure airport with 30 min of fuel remaining? [[NEXT_LINE]] IAS: 95 knots [[NEXT_LINE]] Wind: 115° true at 38 knots [[NEXT_LINE]] Fuel burn: 9.3 gph [[NEXT_LINE]] TC out: 075° [[NEXT_LINE]] Fuel tank capacity: 65 gallons useable [[NEXT_LINE]] Altitude: 4,500 MSL (standard day)",267 nm,299 nm,259 nm,281 nm,A,267 nm,,multiple_choice,,,,Radius of action
5,"You have loaded up your plane with 4 passengers and are right at the max weight of 3,115 pounds. You weigh 170 pounds and will be the PIC for today's flight. You have Bob in the front seat (arm 37"") with you and he weighs 225 pounds. In the back (arm 118""), you have Sally (115 pounds) and Jane (155 pounds). Your CG is a bit too far forward, 3 inches beyond the limit. What must you do to bring the CG within limits?",Swap Bob and Sally,Swap Bob and Jane,Swap You and Jane,It just won't work without ballast.,D,It just won't work without ballast.,,multiple_choice,,,,Weight shift
6,"You are on a 320 SM cross-country flight. You notice that you seem to be a bit off course, and after locating yourself you find you are 4.3 NM off course just a quarter of the way into your flight. How many degrees must you turn to arrive on course 10 NM before your destination?",5.13°,4.22°,3.85°,2.64°,A,5.13°,,multiple_choice,,,,Off-Course
7,"How long will it take to fly from LAX to EWR at M 0.785 at FL370 on a standard day if the winds are from 299° true at 102 mph. The true course is 078° and the distance is 2,732 SM.",4:31,4:40,5:02,5:22,B,4:40,,multiple_choice,,,,Airspeed / Mach
8,"You wish to check your actual groundspeed against your flight planned groundspeed. You planned to have a groundspeed of 102 knots, but you see that you crossed 3 statute miles in 1 min 28 seconds. How far off your planned groundspeed are you?",4.6 kph,5.3 kph,8.5 kph,11.2 kph,C,8.5 kph,,multiple_choice,,,,Time problems with hours/min/sec
9,"You're about to head off on a short ski trip with friends and have finished your weight and balance calculations. Your plane weighs 3,188 pounds and its CG is 44.12"". Just before you get ready to start the engines, one of your friends realized he left his bag of clothes in the car. If he adds a 38 pound bag to station 122.2"", what is your new CG?","45.02""","45.04""","45.06""","45.08""",B,"45.04""",,multiple_choice,,,,Weight change
10,"The pressure altitude is 10,500 feet with a temp of -20°C. Your indicated altitude is 10,000 feet and the station altitude is 5,000 feet. What is your true altitude?","9,250 feet","9,500 feet","9,750 feet","10,000 feet",C,"9,750 feet",,multiple_choice,,,,Conversions
11,"Your GPS shows your magnetic track is 102° while you hold a magnetic heading of 110° and your groundspeed is 166 knots. What are the magnetic winds aloft if your IAS is 164 knots at 6,000 feet with a temperature of +5°C and the altimeter set at 29.92""?",166@28 knots,032@17 knots,158@12 knots,041@24 knots,A,166@28 knots,,multiple_choice,,,,Wind correction
12,"The missed approach climb gradient requires a minimum gradient of 350 ft./nautical mile. If your indicated airspeed on the missed approach will be 170 knots, which results in a climb rate of 1,050 ft/min, will you meet the climb gradient requirements at 7,500 feet pressure altitude on a standard day?","Yes, with 20 feet/nautical mile to spare","No, you will be 18 feet/nautical mile short","Yes, with just 4 feet/nautical mile to spare","No, you will be just 3 feet/nautical mile short",B,"No, you will be 18 feet/nautical mile short",,multiple_choice,,,,Climb gradient
13,"If you are cruising at FL280 and 225 knots calibrated airspeed, by how many degrees would the indicated temperature be higher than actual outside air temperature if the true airspeed is 336 knots? Assume your air data computer uses a recovery coefficient of 1.0.",15°,17°,19°,23°,A,15°,,multiple_choice,,,,Miscellaneous
14,You require 12° of wind correction to maintain your ground track of 357° at 77 KTAS. How much crosswind do you have if winds aloft are 140° at 27 knots?,30.5 feet per second,18.4 knots,27 kilometers per hour,18.4 miles per hour,D,18.4 miles per hour,,multiple_choice,,,,Wind correction
15,"Find an aircraft's groundspeed given the following: Winds aloft are 335° at 18 knots, true course of 202°, and true airspeed of 174 knots.",162 MPH,300 kilometers per hour,214 knots,344 kilometers per hour,D,344 kilometers per hour,,multiple_choice,,,,Courses and headings
16,How many gallons of fuel does an aircraft burn during a flight of 3 hours 37 minutes if it averages 8.4 GPH?,30.4 gallons,35.2 gallons,39.8 gallons,47.2 gallons,A,30.4 gallons,,multiple_choice,,,,Fuel burn / fuel required
17,"Assuming calm wind, how long does it take to fly a 12 DME arc counterclockwise from the 133° radial to the 048° radial at 94 KTAS?",7.7 minutes,114 seconds,278 seconds,11.4 minutes,D,11.4 minutes,,multiple_choice,,,,DME arc
18,"The flight from Oshkosh, WI to Columbus, OH is 339 NM on a true course of 132°. With a cruise TAS of 129 knots and winds aloft at 7,500' MSL of 085° at 24 knots, how far along in the flight would the time to return to Oshkosh equal the time remaining to Columbus?",1 hour 20 minutes,1 hour 43 minutes,2 hours 11 minutes,Halfway into the 3 hour 3 minute flight,B,1 hour 43 minutes,,multiple_choice,,,,Equal time to point
19,"Referencing the previous question, the eastern shore of Lake Michigan is 202 NM from Columbus. Where would the equal time point be in relation to the shore?",Exactly over the shore,After crossing over the shore,Prior to crossing over the shore,,B,After crossing over the shore,,multiple_choice,,"Referenced question 18: The flight from Oshkosh, WI to Columbus, OH is 339 NM on a true course of 132°. With a cruise TAS of 129 knots and winds aloft at 7,500' MSL of 085° at 24 knots, how far along in the flight would the time to return to Oshkosh equal the time remaining to Columbus?",,Equal time to point
20,"Referencing the previous two questions, what is the groundspeed if the pilot decided to turn back to Oshkosh?",128 knots,144 MPH,151 knots,166 MPH,D,166 MPH,,multiple_choice,,"Referenced question 18: The flight from Oshkosh, WI to Columbus, OH is 339 NM on a true course of 132°. With a cruise TAS of 129 knots and winds aloft at 7,500' MSL of 085° at 24 knots, how far along in the flight would the time to return to Oshkosh equal the time remaining to Columbus? [[DIVIDER]] Referenced question 19: Referencing the previous question, the eastern shore of Lake Michigan is 202 NM from Columbus. Where would the equal time point be in relation to the shore?",,Equal time to point
21,"Your landing ground roll increases 10% for every 4 kt increase in airspeed at touchdown. If you normally require 560' when touching down at 36 kts, how much runway will you use if you land at 44 kts?",605',448',672',716',C,672',,multiple_choice,,,,Miscellaneous
22,"Your aircraft weighs 2,060 lbs with a CG of 13.7"". You want to load baggage, located at area 77"", until you reach the aircraft's maximum gross weight of 2,500 lbs. What will your CG be after you are loaded to the aircraft's maximum gross weight?","23.8""","22.6""","25.7""","24.8""",D,"24.8""",,multiple_choice,,,,Weight change
23,"You are departing runway 32. If the winds are 337@16, what is the crosswind component?",15.4 kts,7.3 kts,13.6 kts,4.5 kts,D,4.5 kts,,multiple_choice,,,,Crosswind component
