number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,"Your best five kilometer (5K) run is 21:42. If a Cessna 172 above cruises at 140 knots (groundspeed), how much sooner would the Cessna 172 finish a five kilometer race?",20:33 faster,18:08 faster,19:26 faster,19:46 faster,A,20:33 faster,,multiple_choice,,,
2,"If it takes five minutes to climb to 7400 ft MSL from sea level and if the same rate of climb is sustained, how long will it take to climb from sea level to 18,000 ft MSL?",1220 seconds,1050 seconds,730 seconds,910 seconds,C,730 seconds,,multiple_choice,,,
3,"A Cessna 210 climbs from an airport (250 ft MSL) to 5000 ft MSL in 4:30. Then, it takes 5:20 to climb from 5000 ft MSL to 10,000 ft MSL. A finally, it takes 6:40 to climb from 10,000 ft MSL to 15,000 MSL. What is the average rate of climb the Cessna 210 attains in the climb from the airport to 15,000 MSL?",900 FPM,594 FPM,671 FPM,799 FPM,A,900 FPM,,multiple_choice,,,
4,"You are currently level at 7500 ft MSL cruising towards a national park. This national park has a minimum ""over-fly"" altitude of 9600 ft MSL. At 20 NM from the nearest boundary of the national park, you plan to climb to cross over this boundary at 11,500 ft MSL. If your TAS is 120 knots, on a TC of 123°, and winds aloft of 180° at 22 knots. What rate of climb is needed to proceed as planned?",294 FPM,362 FPM,490 FPM,621 FPM,B,362 FPM,,multiple_choice,,,
5,"With winds aloft of 112° at 34 knots, TAS of 265 km/hr, and a TC of 057°, what is the groundspeed and wind correction angle (WCA)?",244 knots and WCA 6° R,160 knots and WCA 10° L,143 knots and WCA 8° R,121 knots and WCA 11° R,D,121 knots and WCA 11° R,,multiple_choice,,,
6,"With winds aloft of 244° at 29 kts, TAS of 182 mph, and a TC of 111°, what is the groundspeed and wind correction angle (WCA)?",200 knots and WCA 7° R,176 knots and WCA 8° R,140 knots and WCA 7° L,189 knots and WCA 4° L,B,176 knots and WCA 8° R,,multiple_choice,,,
7,You maintain a TAS of 195 mph and TC of 105°. The first portion of the flight (120 NM) the winds aloft are 221° at 34 kts. The second portion of the flight (100 NM) the winds aloft switch to 091° at 45 kts. In the above flight what is the average groundspeed?,174 knots,151 mph,281 km/hr,204 mph,C,281 km/hr,,multiple_choice,,,
8,"Your aircraft is weighs 24,000 lbs and the CG is at station 120. If 250 kg are removed from station 179, how far forward does the CG move and what is the new CG?",The CG moves 1.38 station units aft to station 121.38,The CG moves 1.38 station units forward to station 118.62,The CG moves 0.62 station units aft to station 120.62,The CG moves 0.62 station units forward to station 119.38,B,The CG moves 1.38 station units forward to station 118.62,,multiple_choice,,,
9,"This time you are flying an aircraft with a weight of 99,500 lbs and a CG at station 210. Several crates of oil, 200 U.S. Gallons of Oil, are moved from station 280 (aft cargo hold) to station 120 (forward cargo hold). What is the new CG?",Station 186.0,Station 207.6,Station 212.4,Station 234.0,B,Station 207.6,,multiple_choice,,,
10,"A turboprop is loaded to a weight of 35,000 lbs. There is a system that allows for credits or reductions of weight for children onboard. The reduction is 100 lbs per child, and there are five children onboard (three at station 200 and two at station 400). What is the new CG if the original CG is at station 360?",Shift of 1.15 forward to station 358.85,Shift of 11.5 forward to station 348.50,Shift of 1.15 aft to station 361.15,Shift of 11.5 aft to station 371.50,C,Shift of 1.15 aft to station 361.15,,multiple_choice,,,
11,"One afternoon you are preparing for a lesson in a Cessna 172, and your instructor provides you with this hypothetical situation: At 7500 ft MSL, you lose your engine. The winds aloft are 120° at 25 knots all the way to the surface. Airport #1 (field elevation of 3100 ft MSL) is 10 NM on a true course of 310°. Airport #2 (field elevation of 350 ft MSL) is 13 NM on a true course of 145°. Your glide rate of descent is 700 FPM and your average TAS is 80 knots. Assuming instantaneous turns to the airports. [[NEXT_LINE]] Which, if any, airport can make it to?",You can make both but only barely by 0.1 to 0.25 nautical miles.,You come up short to both airports by more than 1 nautical mile.,You come up short to Airport #1 by 1.2 nautical miles but can land at Airport #2.,You can land at Airport #1 but come up short to Airport #2 by 3.2 nautical miles.,D,You can land at Airport #1 but come up short to Airport #2 by 3.2 nautical miles.,,multiple_choice,,,
