number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table
1,You are flying near your favorite VOR. You experience 15° of bearing change in 11 minutes 36 seconds. How far are you from the station?,49 minutes 20 seconds,54 minutes 40 seconds,46 minutes 24 seconds,57 minutes 10 seconds,C,46 minutes 24 seconds,,multiple_choice,,,
2,You and two classmates are flying in the school's practice area. Jess's MH is 130° and is drifting 5° right. Bob's MH is 205° and is drifting 8° left. You have a MH of 270° and are drifting 9° left. You all have a TAS of 110 kts and variation is 5E. What are the true winds aloft?,342@20 kts,337@19 kts,355@18 kts,331@19 kts,A,342@20 kts,,multiple_choice,,,
3,You just traveled 19.2 NM while fl ying counterclockwise on a DME arc. You intercepted the arc at the 030° radial and left it upon reaching the 340° radial. How far from the VOR were you while on the arc?,18 NM,22 NM,69 NM,43 NM,B,22 NM,,multiple_choice,,,
4,What was the aircraft's MH when you had traveled 10 NM on the arc? Assume calm wind.,004°,094°,184°,274°,D,274°,,multiple_choice,,Referenced question 3: You just traveled 19.2 NM while fl ying counterclockwise on a DME arc. You intercepted the arc at the 030° radial and left it upon reaching the 340° radial. How far from the VOR were you while on the arc?,
5,"You are planning a flight from airport ABC to airport XYZ, 177 NM away. True course is 253°. Winds are 290@17 knots with an OAT of 5°C above standard. If your TAS will be 115 knots, how far from XYZ will you be when the time to continue equals the time to return?",69 NM,78 NM,84 NM,99 NM,B,78 NM,,multiple_choice,,,
6,"You are cruising at an altitude of 12,500 ft. where the OAT is -10°F and the altimeter setting is 30.32. If the CAS is 104 nautical miles per hour, what is the TAS?",122 knots,125 knots,127 knots,129 knots,A,122 knots,,multiple_choice,,,
7,what is true altitude?,"11,800 ft.","13,200 ft.","12,400 ft.","12, 900 ft.",A,"11,800 ft.",,multiple_choice,,"Referenced question 6: You are cruising at an altitude of 12,500 ft. where the OAT is -10°F and the altimeter setting is 30.32. If the CAS is 104 nautical miles per hour, what is the TAS? [[DIVIDER]] Pertaining to the previous problem, if the ca librated altitude is 12,500 ft.",
8,An aircraft has a TAS of 430 knots. What temperature rise is the temp probe experiencing? The probe's recovery coefficient is 0.8.,17°C,24°C,19°C,21°C,C,19°C,,multiple_choice,,,
9,Given: [[NEXT_LINE]] TC: 212° [[NEXT_LINE]] TAS: 185 knots [[NEXT_LINE]] Wind: 040@28 mph [[NEXT_LINE]] Find: Groundspeed,240 knots,222 knots,213 knots,209 knots,D,209 knots,,multiple_choice,,,
10,Given: [[NEXT_LINE]] TC: 100° [[NEXT_LINE]] TH: 078° [[NEXT_LINE]] GS: 138 kph [[NEXT_LINE]] TAS: 130 kph [[NEXT_LINE]] Find: Wind velocity,348@17 mph,172@26 kts,350@32 mph,350@52 kts,C,350@32 mph,,multiple_choice,,,
11,Given: [[NEXT_LINE]] TC: 350° [[NEXT_LINE]] WCA: 5° L [[NEXT_LINE]] Wind: 305@23 kts [[NEXT_LINE]] Find: Groundspeed,157 kts,171 kts,196 kts,201 kts,B,171 kts,,multiple_choice,,,
12,"Pertaining to the previous question, what is the TAS?",178 mph,195 mph,216 mph,258 mph,C,216 mph,,multiple_choice,,Referenced question 11: Given: [[NEXT_LINE]] TC: 350° [[NEXT_LINE]] WCA: 5° L [[NEXT_LINE]] Wind: 305@23 kts [[NEXT_LINE]] Find: Groundspeed,
13,Given: [[NEXT_LINE]] TAS: 110 kts [[NEXT_LINE]] TH: 335° [[NEXT_LINE]] Wind: 195@13 kts [[NEXT_LINE]] Find: TC,339°,150°,330°,159°,A,339°,,multiple_choice,,,
14,Given: [[NEXT_LINE]] TAS: 98 kts [[NEXT_LINE]] GS: 107 kts [[NEXT_LINE]] TC: 323° [[NEXT_LINE]] TH: 330° [[NEXT_LINE]] Find: Wind velocity,199@16 mph,022@17 mph,089@16 mph,092@18 mph,D,092@18 mph,,multiple_choice,,,
15,"You are 136 NM due east of the EDY VORTAC. You want to fly over Uncle Buck's house which is 83 km from EDY on the 270° radial. If you want to burn off exactly 28 liters of fuel enroute and your aircraft burns 5.6 Imperial gallons per hour, at what indicated airspeed should you fly? Winds are 120@17 kts (m agnetic), OAT is 68°F and pressure altitude is 6700 ft.",132 knots,107 knots,161 knots,169 knots,A,132 knots,,multiple_choice,,,
