number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,type_of_problem
1,"Your aircraft weighs 5,560 lbs with a CG of 52.7"". If your friend who weighs 175 lbs climbs into the backseat at a station of 72"", what will the new CG be?","53.29""","52.11""","57.9""","46.8""",A,"53.29""",,multiple_choice,,,,Weight change
2,"You are flying at 115 kts. If it takes you 9 minutes to fly from the 073° radial to the 087° radial, how long would it take you to fly directly to the station?",93.3 minutes,73.9 minutes,56.7 minutes,38.6 minutes,D,38.6 minutes,,multiple_choice,,,,Time to VOR
3,You are flying an ILS at 90 ktas into a 15 knot headwind. What descent rate do you need to maintain the 3° glideslope?,477 fpm,398 fpm,254 fpm,212 fpm,B,398 fpm,,multiple_choice,,,,Rate of descent
4,If you fly 245 nm at 125 kts ground speed while burning 9.7 gph how much fuel have you burned?,19 US gal,20.2 US gal,39.6 US gal,27.8 US gal,A,19 US gal,,multiple_choice,,,,Fuel burn / fuel required
5,An aircraft departs at 1510Z traveling at 85 kts. At 1530Z a second aircraft departs in the same direction at 120 kts. How long will it take the second aircraft to catch the first?,34.2 minutes,28.3 minutes,48.5 minutes,80.8 minutes,C,48.5 minutes,,multiple_choice,,,,Overtaking aircraft
6,The winds are 150°@20 kts and you are flying a course 220° to get from ZYX to GKC (185 nm) at 120 KTAS. How far from ZYX is your equal time point?,87 nm,97.9 nm,52 nm,46.3 nm,B,97.9 nm,,multiple_choice,,,,Equal time to point
7,How long will it take to reach the equal time point?,41.4 minutes,52.4 minutes,46.6 minutes,58.7 minutes,B,52.4 minutes,,multiple_choice,,Referenced question 6: The winds are 150°@20 kts and you are flying a course 220° to get from ZYX to GKC (185 nm) at 120 KTAS. How far from ZYX is your equal time point?,,Equal time to point
8,"You are departing an airport with an elevation of 2,200' where the ATIS is reporting an altimeter setting of 29.62"" Hg and temperature of -10°C. What is the density altitude?",0007',"2,500'","1,730'","3,240'",A,0007',,multiple_choice,,,,Density altitude
9,You are flying a heading of 120° along an airway that is 75 nm long when ATC calls up and says they are showing you 3 nm off course to the left. If you have flown 45 nm how many degrees off course are you?,2.26°,7.3°,4°,9°,C,4°,,multiple_choice,,,,Off-Course
10,"From the previous question, if you want to get back on course in the next 5 nm what heading should you fly?",156°,036°,080°,160°,D,160°,,multiple_choice,,Referenced question 9: You are flying a heading of 120° along an airway that is 75 nm long when ATC calls up and says they are showing you 3 nm off course to the left. If you have flown 45 nm how many degrees off course are you?,,Off-Course
11,"The VOR/DME approach to runway 15 at Martin State (KMTN) airport starts on a 14.7 DME arc with a descent from an altitude of 1,800' at R-039 to 22' at R-060 right over the runway end. If you plan to fly the arc at 90 kts, what is the descent angle assuming a constant descent from R-039 to R-060 (assume calm winds)?",1.1°,2.9°,3.1°,3.3°,C,3.1°,,multiple_choice,,,,DME arc
12,Referring to the previous question: The minimum descent altitude for the approach is 920'. On what radial of the DME arc should you arrive at 920' if you maintain the constant descent to the runway?,R-014,R-044,R-049,R-054,C,R-049,,multiple_choice,,"Referenced question 11: The VOR/DME approach to runway 15 at Martin State (KMTN) airport starts on a 14.7 DME arc with a descent from an altitude of 1,800' at R-039 to 22' at R-060 right over the runway end. If you plan to fly the arc at 90 kts, what is the descent angle assuming a constant descent from R-039 to R-060 (assume calm winds)?",,DME arc
13,"A KC-135 Stratotanker weighing 268,000 lbs is transferring JP-8 (specific gravity of 6.5 lbs/gal) to a B-52 at a rate of 1,763 L/min. Each of the KC-135's four engines burns 3,200 lb/h. If the B-52 needs to take on 50,000 lbs of gas, how much time does the fuel transfer take?",991 seconds,3.03 minutes,0.165 hours,1.79 hours,A,991 seconds,,multiple_choice,,,,Fuel burn / fuel required
14,"Referring to the previous question: Including the fuel transfer and the fuel burn from the KC-135's engines, how much fuel drains from the KC-135's fuel tanks during the process?","50,881 lbs","53,524 lbs","62,800 lbs",Not enough information to answer,B,"53,524 lbs",,multiple_choice,,"Referenced question 13: A KC-135 Stratotanker weighing 268,000 lbs is transferring JP-8 (specific gravity of 6.5 lbs/gal) to a B-52 at a rate of 1,763 L/min. Each of the KC-135's four engines burns 3,200 lb/h. If the B-52 needs to take on 50,000 lbs of gas, how much time does the fuel transfer take?",,Fuel burn / fuel required
15,Referring to the previous questions: The CG of the KC-135 before the fuel transfer was 23% MAC and the fuel transferred to the B-52 shifts the CG to 27% MAC. The pilot moves fuel from a tank located at 77% MAC to a tank at -7% MAC to move the CG back to 23% MAC. How much fuel was moved between the tanks (do not take into account the fuel burned by the KC-135 engines during this time)?,"1,246 lbs","10,213 lbs","15,300 lbs",Not enough information to answer,B,"10,213 lbs",,multiple_choice,,"Referenced question 13: A KC-135 Stratotanker weighing 268,000 lbs is transferring JP-8 (specific gravity of 6.5 lbs/gal) to a B-52 at a rate of 1,763 L/min. Each of the KC-135's four engines burns 3,200 lb/h. If the B-52 needs to take on 50,000 lbs of gas, how much time does the fuel transfer take? [[DIVIDER]] Referenced question 14: Referring to the previous question: Including the fuel transfer and the fuel burn from the KC-135's engines, how much fuel drains from the KC-135's fuel tanks during the process?",,CG in % MAC
16,"The price of fuel at the Niagara Falls Intl airport (KIAG) is $5.94 US/gallon and just across the border at the Niagara District airport in Canada (CYSN) the price of fuel is $1.94 CAN/liter. If the exchange rate is $1.34 Canadian to $1 US, where is it cheaper to fill your 40 gallon aircraft, and by how much?",US by $1.40 US/gal,Canada by $0.46 US/gal,Canada by $0.15 CAN/gal,US by $3.90 US/gal,B,Canada by $0.46 US/gal,,multiple_choice,,,,Conversions
17,"You read in the POH for your Cessna 172 that in a glide, your descent gradient will be 600'/sm. If you are flying at 9,000' MSL and the terrain in the area is at 7,258 feet above sea level, what is your glide range?",1.3 nm,1.5 nm,2.5 nm,2.9 nm,C,2.5 nm,,multiple_choice,,,,Climb gradient
18,"The Lake County Airport in Leadville, CO (KLXV) is the highest airport in the lower 48 states at 9,933' elevation. If your aircraft limitations state that you may not takeoff if the density altitude is greater than 10,000' and the altimeter setting is 30.31"" Hg, what is the maximum temperature it can be outside in order to legally depart from Leadville?",-4°F,0°F,7°C,31°F,D,31°F,,multiple_choice,,,,Density altitude
19,What is the ground speed of a plane that covers 47 nautical miles in 20 minutes?,140 mph,151 mph,162 mph,173 mph,C,162 mph,,multiple_choice,,,,Time problems with hours/min/sec
20,"An airplane is currently loaded to its max allowed gross weight of 2500 pounds, but its CG is aft of the allowed limit by 1 inch. Which of these solutions will bring the airplane within limits?",Move 20 pounds forward 100 inches,Move 200 pounds forward 12.5 inches,Move 40 pounds forward 60 inches,Move 400 pounds forward 5 inches,B,Move 200 pounds forward 12.5 inches,,multiple_choice,,,,Weight shift
21,"You go out for a quick $100 hamburger flight in your Piper J-3 Cub. Your destination is 23 nm away on a 113° true course. Upon reaching your cruise altitude of 1,500, you visually set your course for your destination, and notice that you have to fly a heading of 087°. What is your effective true airspeed if the Cub cruises at 75 mph TAS. Assume a standard atmosphere.",59 kts,65 kts,68 kts,78 kts,A,59 kts,,multiple_choice,,,,Wind correction
22,"Use the information from the previous question. After a painstaking 27 minute flight, you finally arrive at your destination and enjoy your reward. Based on the information from the previous question, what are the winds aloft?",030°@27 kts,040°@30 kts (actual 038 @32),050°@38 kts,190°@30 kts,B,040°@30 kts (actual 038 @32),,multiple_choice,,"Referenced question 21: You go out for a quick $100 hamburger flight in your Piper J-3 Cub. Your destination is 23 nm away on a 113° true course. Upon reaching your cruise altitude of 1,500, you visually set your course for your destination, and notice that you have to fly a heading of 087°. What is your effective true airspeed if the Cub cruises at 75 mph TAS. Assume a standard atmosphere.",,Wind correction
23,"You are designing a fireworks display, and the launch area is 1.2 sm from the main viewing area. You need to synchronize the sound of the fireworks with the music that will be playing from speakers in the viewing area. What is the time delay between when the fireworks burst and when the sound reaches the viewing area? The night of the show is forecast to be 78°F.",1.7 seconds,5.6 seconds,9.3 seconds,10.6 seconds,B,5.6 seconds,,multiple_choice,,,,Time problems with hours/min/sec
24,"You are climbing at a constant rate, at 15° nose up. If each of your two engines produces 8700 lbs. of thrust, what is the vertical component of thrust?","2,900 lbs","4,500 lbs","8,900 lbs","16,800 lbs",B,"4,500 lbs",,multiple_choice,,,,Miscellaneous
25,"You are flying across Lake Michigan in your light twin, and you want to calculate your ""point of no return"" where it will be faster to continue to the other side than to return to your origin. The airports are 74 nm apart, and they are both right on the shore, so your entire flight will be over the water. Your true course is 079°, you will cruise at 4,500' at 148 TAS, and the winds aloft forecast says: [[TABLE]] Where is your point of no return?",15 nm from departure airport,31 nm from arrival airport,37 nm from departure airport,43 nm from arrival airport,D,43 nm from arrival airport,,multiple_choice,,,"{""type"":""table"",""headers"":[""Altitude"",""Winds Aloft Forecast""],""rows"":[[""3000'"",""2329""],[""6000'"",""2523+07""]]}",Radius of action
26,"Use the information from the previous question. While over the lake, you have an engine failure and slow down to your max single engine performance speed of 90 KIAS. You are 26.8 nm from the departure airport; both airports are at standard pressure. Is it faster to turn back or continue to the destination?","It is faster to continue, you just barely crossed your point of no return.","It is faster to turn back, your point of no return is 1 nm in front of you.","It is faster to turn back, your point of no return is 4 nm in front of you.","It is faster to turn back, your point of no return is 19 nm in front of you.",B,"It is faster to turn back, your point of no return is 1 nm in front of you.",,multiple_choice,,"Referenced question 25: You are flying across Lake Michigan in your light twin, and you want to calculate your ""point of no return"" where it will be faster to continue to the other side than to return to your origin. The airports are 74 nm apart, and they are both right on the shore, so your entire flight will be over the water. Your true course is 079°, you will cruise at 4,500' at 148 TAS, and the winds aloft forecast says: [[TABLE]] Where is your point of no return?","{""type"":""table"",""headers"":[""Altitude"",""Winds Aloft Forecast""],""rows"":[[""3000'"",""2329""],[""6000'"",""2523+07""]]}",Radius of action
27,You depart on a quick scenic flight with full tanks and burn 850 lbs/hr. for 47 minutes. How many gallons of Jet-A will it take to top off the tanks when you land (assuming standard weight of Jet A)?,92 gallons,98 gallons,111 gallons,123 gallons,B,98 gallons,,multiple_choice,,,,Fuel burn / fuel required
28,"You are cruising at FL370 (ISA+4) at M0.70 and burning 1100 lbs/hr of Jet-A on each of your two engines. The FMS shows a headwind component of 34 kts. You are considering accelerating to M0.78, which would increase your fuel burn to 1400 lbs/hr per engine. How much extra fuel would you burn at M0.78 if there is 286 nm left in the flight? Disregard descent for these calculations.",98 lbs.,108 lbs.,115 lbs.,225 lbs.,D,225 lbs.,,multiple_choice,,,,Fuel burn / fuel required
29,The remote for your camera drone has a 200 meter range. What distance would the drone travel if you fly it in a complete circle at the maximum remote range?,0.68 sm,0.78 sm,2.2 sm,1.3 sm,B,0.78 sm,,multiple_choice,,,,Multiplication / division
30,"After flying 21 minutes of your 113 nm flight, you calculate your ground speed as 123 kts, and notice that you are 3 miles south of course. If your original heading was 284°, what heading should you fly to go directly to the destination?",277,288,291,294,C,291,,multiple_choice,,,,Off-Course
31,"3,483 ÷ 28 = _____________",12.439,124.39,"1,243.90","12,439",B,124.39,,multiple_choice,,,,Multiplication / division
32,"Flying through the Midwest, you are dodging building thunderstorms on the way to your destination. ATC approves a 20° left turn. Once past the weather, you turn 30° back to the right to proceed direct to your destination. At the time of your turn back on course, you've flown 128 miles. How far are you from your destination?",256 miles,126 miles,512 miles,385 miles,A,256 miles,,multiple_choice,,,,Courses and headings
33,"You finally upgraded to captain at your first airline job. Now that you have a little money, (after paying those student loans of course), you decide that it is time to have a little fun and get your tailwheel endorsement in a Piper Cub. This airplane is a lot slower than the regional jet you've been flying. While in the pattern, you look at your airspeed indicator which reads 75 miles per hour. How fast is that in knots?",96 knots,41 knots,86 knots,65 knots,D,65 knots,,multiple_choice,,,,Conversions
