number,question,choice_a,choice_b,choice_c,choice_d,answer_key,correct_choice,answer_key_type,question_type,choice_e,context,table,problem_type
1,"The ideal stoichiometric ratio of air to fuel of each cylinder in your engine is 14:1. This ratio is metered by your Avstar fuel injector in direct relation to the weight of airflow entering the throttle body, equally divided by the fuel distributor. If the total volume of air entering the throttle body is 455 pounds, how many gallons are currently being consumed by each of your four cylinders?",8.1 gallons,5.4 gallons,3.1 gallons,1.4 gallons,D,1.4 gallons,Volume Conversion,multiple_choice,,,,Conversions
2,"At 7 NM, a brand-new Allegiant Airlines Boeing 737-8 MAX is beginning the descent and will maintain a final approach ground speed of 148 knots. At 3 NM, a Piper Seneca maintains a ground speed of 110 knots. How far out on final will the Boeing be when the Seneca crosses the threshold?",3 SM,3.5 SM,4 NM,4.5 NM,B,3.5 SM,Converging Speed,multiple_choice,,,,Overtaking Aircraft
3,"In the previous question, how much slower would the MAX have to fly to increase the separation by 1 NM?",15 knots,24 knots,37 knots,45 knots,C,37 knots,Converging Speed,multiple_choice,,"Referenced question 2: At 7 NM, a brand-new Allegiant Airlines Boeing 737-8 MAX is beginning the descent and will maintain a final approach ground speed of 148 knots. At 3 NM, a Piper Seneca maintains a ground speed of 110 knots. How far out on final will the Boeing be when the Seneca crosses the threshold?",,Overtaking Aircraft
4,"You are flying the RNAV approach into San Diego, CA which requires a descent rate of 3.5°. The tower reports an 18-kt headwind and your groundspeed is 125 KTS. What is the required rate of descent to maintain the glide path?",625 FPM,685 FPM,770 FPM,860 FPM,C,770 FPM,Descent Rate,multiple_choice,,,,Rate of Descent
5,"A search-and-rescue mission is dispatched to the site of a possible hiker stuck in the desert, 82 SM away on a course of 200°. The current wind is 130° at 45 knots. The airplane, a C.A.P. Cessna 182T, contains 60 gallons of fuel, burns 15 GPH, and flies at 142 KTAS. How long can the C182 circle the desert before returning if they want to land with 30 minutes of fuel remaining?",171 minutes,146 minutes,133 minutes,117 minutes,B,146 minutes,Time to Turn,multiple_choice,,,,Radius of Action
6,"On a cross-country flight, you tune a nearby VOR. While flying a straight line, you cross the 215° radial at 10:12:20. You then cross the 209° radial at 10:14:50. How far are you from the VOR if your groundspeed is 436 km/hr?",98 NM,112 NM,120 NM,136 NM,A,98 NM,Radial time & distance,multiple_choice,,,,Time to VOR
7,"After flying 72 NM of your planned 150 NM flight, you check your position and find you are 4° right of course. If you wish to immediately turn direct to your destination, what heading correction should you apply?",4° left,6° left,8° left,12° left,C,8° left,Off-course correction,multiple_choice,,,,Off-Course
8,"While performing power-off stalls, a blockage in the induction system results in failure of your engine, at 5,500 feet. The elevation of the nearest airport due west, 6.5 NM away, is 826 feet. The average winds aloft from the surface to your altitude is 200° at 23 knots. If the POH dictates a calm-wind glide ratio of 11.57:1, and assuming each knot of headwind decreases your range by 0.2 NM, will you make the airport, and by how many miles?",You will make the airport with .8 NM to spare,You will make the airport with 2.4 NM to spare,You will be 0.5 NM short,You will be 1.7 NM short,A,You will make the airport with .8 NM to spare,Glide rate,multiple_choice,,,,Glide Performance
9,"You recall that in the ""Gimli Glider"" incident, the Boeing 767 achieved a glide ratio of 12.15:1. If you were instead in the same 767 with the same conditions as the accident, how much further would you be able to stretch your glide?",0.45 NM,0.89 NM,1.60 NM,2.09 NM,A,0.45 NM,Glide rate,multiple_choice,,"Referenced question 8: While performing power-off stalls, a blockage in the induction system results in failure of your engine, at 5,500 feet. The elevation of the nearest airport due west, 6.5 NM away, is 826 feet. The average winds aloft from the surface to your altitude is 200° at 23 knots. If the POH dictates a calm-wind glide ratio of 11.57:1, and assuming each knot of headwind decreases your range by 0.2 NM, will you make the airport, and by how many miles?",,Glide Performance
10,"What is the density altitude at 6,500' indicated altitude if pressure is 993 Mb and OAT is -34°F?","1,200'","1,900'","2,200'","3,400'",C,"2,200'",Density Altitude,multiple_choice,,,,Density Altitude
11,What is the groundspeed in the climb?,388 knots,340 knots,305 knots,363 knots,D,363 knots,Scenario- GS,multiple_choice,,Use the following scenario for the next five questions: You're flying from Denver (5434') to Chicago (680') which is 915 SM on a TC of 093°. Variation is 5° east. The performance of the jet aircraft and winds aloft are: [[TABLE]],"{""type"":""table"",""headers"":[""Section"",""Item"",""Value""],""rows"":[[""Performance"",""Climb"",""315 KTAS at 1,800 FPM up to FL350""],[""Performance"",""Cruise"",""Mach .78 (450 KTAS), burning 5,000 LBS per hour""],[""Performance"",""Descent"",""300 KTAS at 1650 FPM""],[""Winds Aloft"",""Climb"",""277° at 48 knots""],[""Winds Aloft"",""Cruise"",""262° at 84 knots""],[""Winds Aloft"",""Descent"",""320° at 33 knots""]]}",Climb/Cruise/Descent Planning
